arrival,elevation
Langreo,1021
Choum,328
Gunskirchen,352
Rudok,4250
Clanwilliam,100
Rawandiz ,658
Baiyin,1698
Lower Carniola,400
Oslov,421
Košice-South,200
Phagwara,234
Anjuna,5
Ehden,1428
Newtown,121
"Six Mile Run, New Jersey",30
Dušníky,203
Železný Brod,305
Puerto Plata,8
Elst,10
Achterberg,15
Achterveld,6
Groenekan,2
Westbroek,0
Maartensdijk,2
"Harlingen, New Jersey",24
Horka nad Moravou,220
Mirny Station,35
Zaheerabad,622
Werkhoven,4
Lány,276
Leština,418
Leštinka,384
Libkov,508
Liboměřice,463
Licibořice,403
Cabauw,0
Jaarsveld,0
Lopikerkapel,1
Uitweg,1
Calasparra,338
Novomoskovsk,62
Petrapole,6
Palavayal,1350
Monforte,1008
Fuenferrada,1128
Ardclough / Ardclogh,61
"Marmora, New Jersey",7
Paonta Sahib,389
Khewra,277
Surajpur,528
Baranagar,12
Overberg,8
Erattupetta,24
Jakhal,375
Shah'ar,420
Al-Bukamal,175
Madhapar,105
Weiz,479
Birkfeld,639
Zhongbei Town,7
Fuschl am See,669
"Ryderwood, Washington",81
Gopalganj,66
Donoughmore,383
Mislata,29
Mumbra,1048
Poonamallee,47
Daimús,6
Matara,2
Bishnupur,59
Santa Elena de Uairén,900
Accra Metropolitan District,61
Pernink,840
Hekendorp,3
Langbroek,4
Linschoten,0
Loenen,0
Maarsbergen,8
Oud-Zuilen,0
't Goy,3
Beltrum,19
Ludkovice,267
Tull en 't Waal,2
Baise,137
Maria Taferl,443
Doddabettahalli,962
Hanur,655
"Clarksboro, New Jersey",19
Gokarna,22
Robertsganj,330
Černá Hora,328
Črnomelj,172
Semič,318
Kostel,385
Gorišnica,210
Ferreries,142
Saligramam,17
Freistadt,560
Badin,10
Hala,39
Bathurst Inlet,0
Čierne Kľačany,224
Rejvíz,778
Montefrío,834
Pozoblanco,654
Dimond District,65
Gokul,163
Bhakkar,159
Vagamon,1200
Spišské Podhradie,448
Marwayne,600
Milo,880
Minburn,635
"Goshen, New Jersey",3
Morrin,832
Munson,825
Nampa,570
Hellum,0
Arzl im Pitztal,880
New Sarepta,770
Nobleford,985
Rockyford,850
Rosemary,745
Rycroft,600
Nalwa,215
Havenhoofd,1
Stellendam,0
Ryley,693
Sangudo,680
Spring Lake,740
Strome,693
Thorsby,745
Veteran,795
Vilna,640
Warburg,820
Warner,1021
Waskatenau,362
Willingdon,625
Nandambakkam,67
"Goiatuba, Brazil",720
Itajá,442
Hechi,195
Hormuz Island,186
"Griggstown, New Jersey",31
Oughterard,121
Elemir,78
Novo Miloševo,77
Bašaid,71
Achthuizen,0
Den Bommel,224
Ooltgensplaat,0
Nieuwe-Tonge,1
Přerov nad Labem,176
Stará Ľubovňa,545
Hezhou,107
Svidník,225
De Cocksdorp,1
De Waal,0
Tower,40
Westerland,3
Oosterland,42
Guigang,45
Francisco I. Madero,1100
Lipník nad Bečvou,233
"Crystal, Colorado",2728
Ambur,1201
't Zand ,0
Schagerbrug,0
Sint Maartensbrug,0
Sint Maartensvlotbrug,1
Burgerbrug,1
Burgervlotbrug,1
Cartaya,26
Abbenes,711
Gibraleón,26
Suai,13
Higuera de la Sierra,620
Aalsmeerderbrug,177
Paterna del Campo,186
La Palma del Condado,93
Nerva,332
Moguer,51
Jimena de la Frontera,99
El Gastor,520
Espera,164
Benalup-Casas Viejas ,112
Bornos New City,182
Leimuiderbrug,14
Algodonales ,370
Lisserbroek,212
Alcalá del Valle ,628
Alcalá de los Gazules,165
Kořenov,725
Minas de Riotinto,426
Ayamonte,63
Lieshout,14
Beek en Donk,14
Gleno,882
Landmark,242
Jiyeh,0
Ulikkal,43
Anyue County,314
"Sergeantsville, New Jersey",103
Lakeside Apartments District,4
Oldtown,63
Frailes,1615
Manavadar,24
Kendrapara,13
Bhadrak,23
Svit,720
Tiruttani,76
Thiruverkadu,42
Vadapalani,56
Muntendam,2
Bezděkov nad Metují,476
Beusichem,4
Tsetserleg,1691
Schardam,0
Saidu Sharif,970
Dalbandin,843
Huisduinen,0
Friese Buurt,0
Ankeveen,0
Kortenhoef,0
Nieuw-Loosdrecht,0
Oud-Loosdrecht,0
Muyeveld,0
"Pedricktown, New Jersey",3
Guaramiranga,865
Snelrewaard,694
Qianjiang,32
"Thistle, Utah",1537
Nová Paka,427
Kakkanad,28
Uzdin,70
Češko Selo,116
Chapar,22
Șoldănești,145
St.,548
Eanjum,0
Silwad,851
Aruvankadu,1890
Jagatdal,15
Kobersdorf,320
Chimbarongo,295
Navy Nagar,4
Wokha,1313
Szamotuły,115
Jobat,292
Lackenbach,313
Nowy Tomyśl,70
Kokopo,4
Olesno,240
Belo Blato,68
Ečka,71
Kumane,80
Martonoš,76
Melenci,82
Balangir,383
Shahpura,364
Vilsteren,7
Starokostiantyniv,265
Perlez,63
Taraš,72
"Pittsburg, Nevada",1869
Oujé-Bougoumou,372
Bellingshausen Station,16
Raabs an der Thaya,410
Kamshet,670
Bhandardara,740
Itarumã,474
Shamshabad,574
