arrival,elevation
Ankara,938
Astoria,7
Abadan,3
Austin,149
Ann Arbor,256
Alicante,3
Ajmer,480
Alexandria,265
Berlin,34
Bitola,650
Bishkek,800
Brasília,1172
Cambridge,12
Columbus,238
Cairo,23
Chojnów,170
Concord,83
Cadillac,399
Crete Region,2456
Cedar Falls,268
Casablanca,0
Carson City,1427
Concord,312
Delft,0
Dedham,37
Dundee,18
Des Moines,266
Edinburgh,47
Ellensburg,470
Eugene,131
Fredericton,20
Fortaleza,16
Fort Wayne,247
Fairmount,263
Fort Collins,1525
Gothenburg,12
Guatemala City,1500
Guangzhou,21
Guernica,10
Goshen,244
Hilversum,15
Houston,32
Honolulu,5
Jackson,284
Jerusalem,754
Jackson,85
Jakarta,8
Kuala Lumpur,63
Karachi,10
Kathmandu,1400
Kalat,2007
Kansas City,277
Lincoln,366
London,11
Lisbon,2
Legnica,113
Luanda,6
Larissa,67
Lansing,260
Lleida,155
Mexico City,2
Moscow,156
Mumbai,14
Manchester,38
Marquette,203
Marrakesh,466
Mazar-i-Sharif,357
Mecca,277
Nairobi,1795
Nazareth,347
Nashville,169
Neelin,436
Ottawa,70
Oslo,1
Otterlo,28
Portland,15
Paris,183
Parma,305
Pretoria,1339
Rome,21
Rio de Janeiro,2
Roswell,1089
Roppongi,16
Redmond,13
Sarajevo,550
Shanghai,4
Syracuse,116
Soweto,1632
Skopje,240
Toledo,187
Tirana,110
Toruń,65
Tecumseh,245
Toledo,529
Tel Aviv,5
Victoria,23
Warsaw,78
Whitehorse,670
Windsor,190
Warren,191
Winona,116
Milan,120
Medina,620
Bristol,11
Bucharest,55
Boise,823
Kingston,9
Shravanabelagola,871
Hyderabad,524
Delhi,200
Plzeň,310
Donnybrook,11
Nottingham,46
Salzburg,424
Monterey,8
Monterrey,540
Saint Paul,251
London,519
