arrival,elevation
Ankara,938
Astoria,7
Abadan,3
Austin,149
Ann Arbor,256
Alicante,3
Ajmer,480
Alexandria,265
Berlin,34
Bitola,650
Bishkek,800
Brasília,1172
Cambridge,12
Columbus,238
Cairo,23
Chojnów,170
Concord,83
Cadillac,399
Cedar Falls,268
Casablanca,0
Carson City,1427
Concord,312
Delft,0
Dedham,37
Dundee,18
Des Moines,266
Edinburgh,47
Ellensburg,470
Eugene,131
Fredericton,20
Fortaleza,16
Fort Wayne,247
Fairmount,263
Fort Collins,1525
Gothenburg,12
Guatemala City,1500
Guangzhou,21
Guernica,10
Goshen,244
Hilversum,15
Houston,32
Honolulu,5
Jackson,284
Jerusalem,754
Jackson,85
Jakarta,8
Kuala Lumpur,63
Karachi,10
Kathmandu,1400
Kalat,2007
Kansas City,277
Lincoln,366
London,11
Lisbon,2
Legnica,113
Luanda,6
Larissa,67
Lansing,260
Lleida,155
Moscow,156
Mumbai,14
Manchester,38
Marquette,203
Marrakesh,466
Mazar-i-Sharif,357
Mecca,277
Nairobi,1795
Nazareth,347
Nashville,169
Neelin,436
Ottawa,70
Oslo,1
Otterlo,28
Portland,15
Paris,183
Parma,305
Pretoria,1339
Rome,21
Rio de Janeiro,2
Roswell,1089
Roppongi,16
Redmond,13
Sarajevo,550
Shanghai,4
Syracuse,116
Soweto,1632
Skopje,240
Toledo,187
Tirana,110
Toruń,65
Tecumseh,245
Toledo,529
Tel Aviv,5
Victoria,23
Warsaw,78
Whitehorse,670
Windsor,190
Warren,191
Winona,116
Milan,120
Medina,620
Bucharest,55
Boise,823
Kingston,9
Shravanabelagola,871
Plzeň,310
Donnybrook,11
Nottingham,46
Salzburg,424
Monterey,8
Monterrey,540
London,519
Ayodhya,93
Beaverton,58
Ljubljana,295
Rockville,137
Merced,52
Mafikeng,1500
Bloemfontein,1395
Portland,19
Polokwane,1310
Burgos,865
Chennai,7
West Timor,2427
Kinshasa,240
Augusta,37
Whatì,269
Pardubice,237
Leiden,0
Las Vegas,610
Kolkata,9
Bhopal,518
Columbia,124
Memphis,103
Malabo,0
Graz,353
Tigard,91
Salem,48
Havana,59
Amherst,90
Lviv,296
Lancaster,268
Celje,238
Takoma Park,121
Groningen,7
Lexington,298
Oakland,731
Prabuty,90
Tianjin,5
Frederick,92
Samarqand,705
New Delhi,216
Phnom Penh,11
Nouakchott,7
Harlingen,12
Cádiz,11
Fremont,17
Milwaukee,188
Kensington,87
Gaithersburg,106
Harpers Ferry,149
Richmond,65
Nuuk,5
Palo Alto,9
San Jose,25
Vulcan,1049
New Haven,18
Salt Lake City,1300
Galveston,2
Miami,1
Carniola,400
Kalamazoo,239
Dubrovnik,3
Odesa,40
Linz,266
Innsbruck,574
Vienna,151
Belgrade,117
Tierra Amarilla,2295
Thiruvananthapuram,38
Kozhikode,34
Kochi,26
Ashgabat,273
Astana,347
Bangkok,1
Colombo,1
Dodoma,1120
Abuja,360
Accra,61
Asmara,2325
Limerick,10
Panama City,2
Paramaribo,3
Port Moresby,35
Port Vila,59
Port of Spain,66
Tashkent,455
Flagstaff,2106
Olomouc,219
Richland,117
Santo Domingo,14
Sofia,500
Tehran,900
Valletta,56
Windhoek,1655
Montgomery,73
Springfield,183
Indianapolis,219
Baton Rouge,14
Annapolis,13
Trenton,18
Harrisburg,102
Columbia,92
Olympia,29
Charleston,182
San Juan,8
Norfolk,2
Badajoz,185
Badalona,12
Sarbinowo,64
Johannesburg,1753
Yaren,25
Andorra la Vella,1023
Girona,76
Tarragona,68
Murcia,43
Pamplona,450
Dubuque,188
Timișoara,90
Fairfield,180
Khamis Mushayt,2066
Charleston,6
Camprodon,988
Figueres,39
Nantucket,9
Mauthausen,265
Campinas,555
Jaén,573
Van,1726
Valencia,15
Martorell,56
Cartagena,2
Wilkes-Barre,160
Toronto,76
Recife,10
Poland,318
Peshawar,331
Amposta,8
Tortosa,12
Flix,48
Ho Chi Minh City,19
Burlington,61
Ulaanbaatar,1350
Bilbao,19
Dos Hermanas,42
Huesca,488
Teruel,915
Cervera,548
Ripoll,691
Mérida,217
Valladolid,698
Terrassa,286
Ooty,2240
Mysore,770
Athens,219
Valparaíso,10
St. John's,0
Fraga,118
Santa Ana,35
Dordrecht,1
Segovia,1005
La Seu d'Urgell,691
Cusco,3399
Kumbakonam,53
Zacatecas,2440
Guadalajara,708
Guadalajara,1566
Waterloo,329
Astorga,870
North Bay,197
Sozopol,0
Reus,134
Palma,13
Bydgoszcz,60
Sosnowiec,250
Wałbrzych,350
Płock,60
Opole,176
Koszalin,32
L'Hospitalet de Llobregat,8
Mahón,72
La Jonquera,110
Castellón de la Plana,30
Grudziądz,50
Słupsk,22
Zielona Góra,71
Concepción,12
Casper,1560
Oregon City,42
Anaheim,48
Hopewell,15
Sarnia,180
Yakima,325
Calabasas,283
Mineola,33
Vitoria-Gasteiz,525
Klagenfurt am Wörthersee,446
Xi'an,405
Glendale,159
Vitis,530
Provo,1387
El Pont de Suert,838
Puigcerdà,1202
Gandesa,368
Balaguer,233
Tremp,468
Tamarite de Litera,360
Ain,433
Shenzhen,0
Caguas,64
Brookfield,140
Upland,377
Ponce,16
Kent,142
St. Petersburg,13
Palamós,30
Roses,5
Tàrrega,373
Mataró,28
Vic,484
Valls,215
Olot,443
Lima,0
Utica,139
Slane,64
Wellsburg,206
Opatija,0
Juneau,10
Sitka,8
Flint,229
Baden,230
America,29
São Carlos,856
New London,17
Wyandotte,177
Alcalá de Henares,594
Babina,303
Kennewick,124
Williamsburg,15
Salem,358
Portsmouth,6
Manassas,93
Lynchburg,192
Harrisonburg,404
Fredericksburg,18
Falls Church,99
Fairfax,95
Covington,381
Charlottesville,181
Bristol,512
Pinckney,275
Tczew,25
Springfield,21
Pasadena,263
Kilkenny,60
Galway,25
Portlaoise,139
Tampa,14
Cuyahoga County,199
Huntington,172
Yonkers,25
Edmonton,645
Arlington,184
Ferndale,197
Aspen Hill,100
Olney,165
Berga,704
Cerdanya,1
Richmond,299
College Park,21
Worcester,146
Tiraspol,26
Autaugaville,49
Bay Minette,82
Robertsdale,45
Terre Haute,152
Porto,104
Quebec City,98
Regina,577
Winnipeg,239
Murray Hill,77
Yellowknife,206
Tijuana,20
San Anselmo,14
Camden,5
Encinitas,25
Andalusia,106
Luverne,108
Flomaton,19
Abbeville,137
Auburn,214
Prichard,9
Beatrice,82
Troy,165
Oak Grove,170
Alexander City,215
Chatom,64
Adak,50
Bethel,1
North Pole,147
Kalifornsky,7
Kenai,22
Ketchikan,0
Akhiok,9
Diomede,494
Wales,8
Red Dog Mine,260
Whittier,13
Russian Mission,16
Fort Yukon,130
Nenana,107
Llívia,1224
Newton,30
Meridian,105
Wrigley,149
Mequinenza,75
Pallars,460
St. Johns,1733
Huachuca City,1341
Miami,1037
Chandler,370
Kingman,1016
Mohave Valley,159
Ajo,536
Mammoth,719
Superior,880
Clarkdale,1081
Wellton,75
Yuma,43
Humphrey,58
Hamburg,49
Lake Village,33
Arkadelphia,75
Jonesboro,79
Monette,72
Dumas,50
Sheridan,84
Fulton,79
Washington,135
Altheimer,63
Pine Bluff,67
Redfield,92
Sherrill,66
Wabbaseka,62
Lewisville,89
Ashdown,98
Cabot,91
Lonoke,74
Texarkana,110
Camden,62
Murfreesboro,112
North Little Rock,81
Fort Smith,141
Greenwood,160
Beebe,75
Searcy,80
Amador City,280
Concow,611
Magalia,711
Oroville,51
Angels Camp,420
San Andreas,268
Arbuckle,43
Colusa,15
Williams,25
Antioch,13
Concord,23
Biola,77
Clovis,110
Coalinga,205
Firebaugh,46
Fowler,94
Huron,114
Kerman,67
Mendota,53
Orange Cove,129
Reedley,106
San Joaquin,53
Selma,94
Orland,79
Willows,42
Fortuna,20
Shoshone,483
California City,733
Delano,96
Frazier Park,1414
Johannesburg,1072
Mojave,842
Shafter,106
Avenal,246
Hanford,76
Clearlake,432
Clearlake Oaks,407
Hidden Valley Lake,363
Kelseyville,422
Lakeport,413
Lower Lake,418
Lucerne,405
Middletown,335
Nice,415
Upper Lake,410
Acton,826
Alhambra,150
Alondra Park,16
Arcadia,147
Avalon,9
Avocado Heights,103
Azusa,186
Baldwin Park,114
Bell,43
Bell Gardens,37
Bellflower,22
Bradbury,206
Burbank,185
Carson,12
Cerritos,14
Charter Oak,232
Citrus,178
Commerce,43
Compton,21
Cudahy,37
Culver City,29
Del Aire,31
Desert View Highlands,827
Diamond Bar,212
Downey,36
Duarte,156
East Rancho Dominguez,22
East Whittier,69
East Pasadena,221
East San Gabriel,115
El Monte,91
El Segundo,35
Gardena,15
Glendora,236
Hawthorne,22
Hermosa Beach,8
Huntington Park,52
Inglewood,40
Irwindale,143
La Cañada Flintridge,362
La Habra Heights,225
La Mirada,59
La Puente,107
La Verne,323
Ladera Heights,93
Lancaster,719
Lawndale,18
Lennox,22
Littlerock,881
Lomita,29
Malibu,32
Marina del Rey,0
Mayflower Village,112
Maywood,46
Monterey Park,117
North El Monte,101
Norwalk,28
Palos Verdes Estates,64
Paramount,21
Pico Rivera,50
Pomona,259
Quartz Hill,761
Rancho Palos Verdes,67
Rolling Hills,389
Rosemead,97
Rowland Heights,160
San Dimas,291
San Fernando,326
San Gabriel,128
Santa Fe Springs,41
Sierra Madre,252
Signal Hill,45
South El Monte,76
South Gate,35
South Pasadena,201
South San Gabriel,83
South San Jose Hills,127
South Whittier,54
Temple City,122
Val Verde,362
Valinda,106
Vernon,62
Vincent,983
Walnut,171
Walnut Park,45
West Athens,58
West Carson,13
West Rancho Dominguez,25
West Covina,117
West Hollywood,86
Westmont,66
Whittier,112
